Date,Symbol,Buy,Sell,Total,Net
2026-07-09,SCG,1139.2,0.0,1139.2,1139.2
2026-07-09,SCGD,0.0,125240.0,125240.0,-125240.0
2026-07-09,SCGP,98954950.0,66603375.0,165558325.0,32351575.0
2026-07-09,SCL,0.0,9260.0,9260.0,-9260.0
2026-07-09,SCM,72.0,0.0,72.0,72.0
2026-07-09,SCN,0.0,40.0,40.0,-40.0
2026-07-09,SCP,332500.0,0.0,332500.0,332500.0
2026-07-09,SE,0.0,5003.43,5003.43,-5003.43
2026-07-09,SEAFCO,517382.0,18894.0,536276.0,498488.0
2026-07-09,SEAOIL,20540.0,0.0,20540.0,20540.0
2026-07-09,SECURE,254770.0,266700.0,521470.0,-11930.0
2026-07-09,SFLEX,347170.0,63468.0,410638.0,283702.0
2026-07-09,SGC,82970424.0,7169368.0,90139792.0,75801056.0
2026-07-09,SGF,0.0,240.0,240.0,-240.0
2026-07-09,SGP,0.0,23845.0,23845.0,-23845.0
2026-07-09,SHR,143846.0,380891.0,524737.0,-237045.0
2026-07-09,SICT,152450.0,11390.0,163840.0,141060.0
2026-07-09,SIMAT,370806.0,24841.0,395647.0,345965.0
2026-07-09,SINGER,113980431.5,28415500.0,142395931.5,85564931.5
2026-07-09,SIRI,21751074.0,9567022.46,31318096.46,12184051.54
2026-07-09,SIS,9619510.0,1296480.0,10915990.0,8323030.0
2026-07-09,SISB,16568050.0,2863905.0,19431955.0,13704145.0
2026-07-09,SITHAI,0.0,298.0,298.0,-298.0
2026-07-09,SJWD,12670540.0,1602575.0,14273115.0,11067965.0
2026-07-09,SKE,0.0,18.0,18.0,-18.0
2026-07-09,SKR,39500.0,10270.0,49770.0,29230.0
2026-07-09,SKY,18922410.0,2266860.0,21189270.0,16655550.0
2026-07-09,SMD100,1370.0,114.0,1484.0,1256.0
2026-07-09,SMO,245698.0,246568.0,492266.0,-870.0
2026-07-09,SMPC,12890.0,67525.0,80415.0,-54635.0
2026-07-09,SMT,18154012.0,1980196.0,20134208.0,16173816.0
2026-07-09,SNC,12690.0,51995.0,64685.0,-39305.0
2026-07-09,SNNP,28750.0,276170.0,304920.0,-247420.0
2026-07-09,SOLAR,0.0,748.0,748.0,-748.0
2026-07-09,SORKON,14000.0,0.0,14000.0,14000.0
2026-07-09,SPA,3929090.0,218706.0,4147796.0,3710384.0
2026-07-09,SPACK,14729.0,1136.0,15865.0,13593.0
2026-07-09,SPALI,17639600.0,20693160.0,38332760.0,-3053560.0
